drksId,indication.type0,indication.key0,indication.value0,indication.type1,indication.key1,indication.value1,indication.type2,indication.key2,indication.value2,indication.type3,indication.key3,indication.value3,indication.type4,indication.key4,indication.value4
DRKS00003085,ICD10,A41,Other septicaemia,ICD10,K72,"Hepatic failure, not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003090,ICD10,I73.9,"Peripheral vascular disease, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003093,Free text,NA,Diseases associated with lack of movement of mainly seated working employees,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003097,Free text,NA,Physical inactivity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003104,MedDRA,NA,LLT 10053943 (Hämatopoietische Stammzellmobilisierung/ Hematopoietic stem cell mobilization),MedDRA,NA,LLT 10029547 (Non-Hodgkin's Lymphom / Non-Hodgkin's Lymphoma),MedDRA,NA,LLT 10028233 (Multiples Myelom ohne erwähnte Remession / Multiple myeloma without mention of remission),ICD10,C81,Hodgkin's disease,NA,NA,NA
DRKS00003112,Free text,NA,healthy subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003207,ICD10,I69.3,Sequelae of cerebral infarction,ICD10,R26,Abnormalities of gait and mobility,ICD10,R27,Other lack of coordination,NA,NA,NA,NA,NA,NA
DRKS00003210,ICD10,J40-J47,Chronic lower respiratory diseases,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003218,ICD10,R13.9,[generalization R13: Dysphagia],ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003272,ICD10,I10.90,[generalization I10: Essential (primary) hypertension],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003326,ICD10,M47,Spondylosis,ICD10,M42,Spinal osteochondrosis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003347,Free text,NA,Chronic diabetic foot wounds after debridement avital tissue components,Free text,NA,Chronic diabetic foot wounds after amputation below the articulatio talocruralis,ICD10,E10.74,[generalization E10.7: Insulin-dependent diabetes mellitus; With multiple complications],ICD10,E10.75,[generalization E10.7: Insulin-dependent diabetes mellitus; With multiple complications],ICD10,E11.74,[generalization E11.7: Non-insulin-dependent diabetes mellitus; With multiple complications]
DRKS00003377,Free text,NA,healthy postmenopausal study participants; in the broader sense effects of high milk consumption on the development of hormone-dependant tumors,ICD10,C50,Malignant neoplasm of breast,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA
DRKS00003383,Free text,NA,Healthy volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003527,Free text,NA, with healthy volunteers,ICD10,F33,"Depressive episode, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003556,Free text,NA,Patients with clinical indications for a MRI exam.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003582,ICD10,D27,Benign neoplasm of ovary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003589,ICD10,F32,Depressive episode,ICD10,F33,Recurrent depressive disorder,ICD10,F34.1,Dysthymia,NA,NA,NA,NA,NA,NA
DRKS00003602,Free text,NA,healthy volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003610,Free text,NA,potentially inappropriate medication in the elderly (no specific disease or condition necessary for study inclucion),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003623,Other,NA,"DSM-IV 295.30 Schizophrenia, paranoid type",Other,NA,DSM-IV 295.10 Schizophrenia disorganized type,Other,NA,DSM-IV 295.90 Schizophrenia undifferentiated type,Other,NA,DSM-IV 295.60 Schizophrenia residual type,Other,NA,DSM-IV 295.40 Schizophreniform disorder
DRKS00003690,ICD10,F32,Depressive episode,ICD10,F33,Recurrent depressive disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003961,Free text,NA,Healthy subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004086,Free text,NA,Advanced Urothelial Cancer of Bladder After Failure of Platinum-containing Therapy.,ICD10,C67,Malignant neoplasm of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004119,Free text,NA,Renal Cell Cancer,Free text,NA,Neoplasm Metastasis,ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",ICD10,C79.5,Secondary malignant neoplasm of bone and bone marrow,NA,NA,NA
DRKS00004164,Free text,NA,Stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004174,ICD10,R13.9,[generalization R13: Dysphagia],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004195,ICD10,E66,Obesity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004257,ICD10,J44.9,"Chronic obstructive pulmonary disease, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004288,ICD10,F43.1,Post-traumatic stress disorder,Free text,NA,substance abuse,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004298,Free text,NA,healthy participants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004306,ICD10,E66,Obesity,ICD10,R03,"Abnormal blood-pressure reading, without diagnosis",ICD10,E78,Disorders of lipoprotein metabolism and other lipidaemias,ICD10,R73,Elevated blood glucose level,ICD10,R79,Other abnormal findings of blood chemistry
DRKS00004311,Free text,NA,metabolism of resveratrol in healthy volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004315,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004361,ICD10,N17,Acute renal failure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004591,ICD10,C15,Malignant neoplasm of oesophagus,ICD10,C16,Malignant neoplasm of stomach,ICD10,C17,Malignant neoplasm of small intestine,ICD10,C18,Malignant neoplasm of colon,ICD10,C19,Malignant neoplasm of rectosigmoid junction
DRKS00004622,ICD10,C43,Malignant melanoma of skin,ICD10,C44,Other malignant neoplasms of skin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004649,Free text,NA,Sexual or physical childhood abuse,ICD10,T74.1,Physical abuse,ICD10,T74.2,Sexual abuse,NA,NA,NA,NA,NA,NA
DRKS00004675,ICD10,K80.0,Calculus of gallbladder with acute cholecystitis,ICD10,K80.2,Calculus of gallbladder without cholecystitis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004682,ICD10,R26.8,Other and unspecified abnormalities of gait and mobility,ICD10,R54,Senility,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004700,ICD10,F51.0,Nonorganic insomnia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004737,ICD10,K05,Gingivitis and periodontal diseases,ICD10,K02,Dental caries,ICD10,K03.6,Deposits [accretions] on teeth,NA,NA,NA,NA,NA,NA
DRKS00004749,Free text,NA,work-related stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004784,Free text,NA,H52.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004965,Free text,NA,difficulties in orientation,Free text,NA,dementia ,ICD10,F03,Unspecified dementia,NA,NA,NA,NA,NA,NA
DRKS00004978,ICD10,G20,Parkinson disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005091,ICD10,T68,Hypothermia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005120,Free text,NA,Depressive Episode (F32 ff. ICD 10) Major Depression (296.20 ff. DSM IV),ICD10,F32,Depressive episode,ICD10,F32.1,Moderate depressive episode,ICD10,F32.2,Severe depressive episode without psychotic symptoms,NA,NA,NA
DRKS00005132,ICD10,J96.0,Acute respiratory failure,ICD10,J18.9,"Pneumonia, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005176,Free text,NA,informed choice,Free text,NA,mammography screening,ICD10,C50,Malignant neoplasm of breast,NA,NA,NA,NA,NA,NA
DRKS00005181,ICD10,K10.8,Other specified diseases of jaws,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005301,ICD10,E86,Volume depletion,Free text,NA,Healthy Volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005500,ICD10,G35.1,[generalization G35: Multiple sclerosis],ICD10,G35.3,[generalization G35: Multiple sclerosis],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005581,Free text,NA,ultrasound-guided anesthesia and vascular acess,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003139,Free text,NA,relapsed or metastatic soft tissue sarcoma,ICD10,C49,Malignant neoplasm of other connective and soft tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004320,ICD10,J44.8,Other specified chronic obstructive pulmonary disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000180,Free text,NA,tetanus,ICD10,A35,Other tetanus,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003187,Free text,NA,Non-24 Hour Sleep Wake Disorder,ICD10,G47.2,Disorders of the sleep-wake schedule,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003689,ICD10,G40,Epilepsy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004163,ICD10,I64,"Stroke, not specified as haemorrhage or infarction",ICD10,G93.1,"Anoxic brain damage, not elsewhere classified",ICD10,G31,"Other degenerative diseases of nervous system, not elsewhere classified",ICD10,G35,Multiple sclerosis,ICD10,S06,Intracranial injury
DRKS00000088,ICD10,H34.1,Central retinal artery occlusion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004143,Free text,NA,Erectile Dysfunction,ICD10,N48.4,Impotence of organic origin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000214,ICD10,R45.8,Other symptoms and signs involving emotional state,ICD10,F32.9,"Depressive episode, unspecified",ICD10,F19.1,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances; Harmful use,ICD10,F10.1,Mental and behavioural disorders due to use of alcohol; Harmful use,ICD10,F41.9,"Anxiety disorder, unspecified"
DRKS00004121,Free text,NA,"Carcinoma, Renal Cell",ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005365,Free text,NA,Chronic Plaque type psoriasis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005402,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005404,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000152,ICD10,M16.0,"Primary coxarthrosis, bilateral",ICD10,M16.1,Other primary coxarthrosis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000297,ICD10,E10,Insulin-dependent diabetes mellitus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000356,Free text,NA,Enlargement of the local anesthetized area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000361,Free text,NA,Enlargement of the local anesthetized area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000389,ICD10,A53.9,"Syphilis, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000397,ICD10,D12.0,Benign neoplasm: Caecum,ICD10,D12.2,Benign neoplasm: Ascending colon,ICD10,D12.3,Benign neoplasm: Transverse colon,ICD10,D12.4,Benign neoplasm: Descending colon,ICD10,D12.5,Benign neoplasm: Sigmoid colon
DRKS00000432,Free text,NA,Children not suffering from a special disease.,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000454,ICD10,M54.2,Cervicalgia,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000524,Free text,NA,patients of an acuts geriatric unit at risk of falls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000534,ICD10,F43,"Reaction to severe stress, and adjustment disorders",ICD10,F41,Other anxiety disorders,ICD10,F32,Depressive episode,NA,NA,NA,NA,NA,NA
DRKS00000537,Free text,NA,We examined only healthy subjects  Application for prevention and treatment of adiposity might be considered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000550,ICD10,F32,Depressive episode,ICD10,F33,Recurrent depressive disorder,ICD10,F34.1,Dysthymia,NA,NA,NA,NA,NA,NA
DRKS00000621,ICD10,A41,Other septicaemia,Free text,NA,Severe Sepsis,Free text,NA,Septic Shock,NA,NA,NA,NA,NA,NA
DRKS00000626,ICD10,C22.1,Malignant neoplasm: Intrahepatic bile duct carcinoma,ICD10,K80,Cholelithiasis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000639,ICD10,J96.1,Chronic respiratory failure,ICD10,J44.81,[generalization J44.8: Other specified chronic obstructive pulmonary disease],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000644,ICD10,K08.1,"Loss of teeth due to accident, extraction or local periodontal disease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000669,ICD10,I83.2,Varicose veins of lower extremities with both ulcer and inflammation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000686,ICD10,E66.82,[generalization E66.8: Other obesity],ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000733,ICD10,C92.9,"Myeloid leukaemia, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000751,ICD10,E66.0,Obesity due to excess calories,Free text,NA,Patients in the postoperative period,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000758,Free text,NA,"This is a Phase I study, involving healthy subjects. The study is designed as a ""Proof of Concept"" to evaluate oromucosal delivery of insulin, contained in a mucoadhesive wafer.  The study population in this clinical study will not benefit from the treatment. Orosomucosal delivery of insulin may be of benefit to patients with Diabetes Mellitus.",ICD10,E10,Insulin-dependent diabetes mellitus,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000767,ICD10,C25.0,Malignant neoplasm: Head of pancreas,ICD10,K86.1,Other chronic pancreatitis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000782,ICD10,I48.10,[generalization I48: Atrial fibrillation and flutter],ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000785,Free text,NA,Not applicable; the study participants were healthy volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000792,Free text,NA,Health and everyday life problems as assessed by the STEP-assessment,Free text,NA,other volunteered health problems,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00001900,ICD10,M40-M54,Dorsopathies,ICD10,E11,Non-insulin-dependent diabetes mellitus,ICD10,I25,Chronic ischaemic heart disease,NA,NA,NA,NA,NA,NA
DRKS00001901,ICD10,F32,Depressive episode,ICD10,M40-M54,Dorsopathies,ICD10,F33,Recurrent depressive disorder,ICD10,F34.1,Dysthymia,NA,NA,NA
DRKS00003082,ICD10,C22.1,Malignant neoplasm: Intrahepatic bile duct carcinoma,ICD10,K80,Cholelithiasis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003086,ICD10,K07.2,Anomalies of dental arch relationship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003127,Free text,NA,"This is a Phase I study, involving healthy subjects. The study is designed as a ""Proof of Concept"" to evaluate oromucosal delivery of insulin, contained in a mucoadhesive wafer.  The study population in this clinical study will not benefit from the treatment. Orosomucosal delivery of insulin may be of benefit to patients with Diabetes Mellitus. ",ICD10,E10,Insulin-dependent diabetes mellitus,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003170,ICD10,L70.9,"Acne, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003185,ICD10,F32,Depressive episode,ICD10,F33,Recurrent depressive disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003240,ICD10,M54.86,[generalization M54.8: Other dorsalgia],ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003332,Free text,NA,Fractured neck of femur,ICD10,S72.0,Fracture of neck of femur,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003352,Free text,NA,chronic back pain,ICD10,M54.5,Low back pain,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003355,ICD10,N17.9,"Acute renal failure, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003365,ICD10,D33.3,Benign neoplasm: Cranial nerves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003374,ICD10,K08.9,"Disorder of teeth and supporting structures, unspecified",ICD10,K05.0,Acute gingivitis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003438,ICD10,K02,Dental caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003452,ICD10,G20,Parkinson's disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003497,ICD10,K07.2,Anomalies of dental arch relationship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003567,ICD10,I27.0,Primary pulmonary hypertension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003568,Free text,NA,Percutaneous coronary intervention,Free text,NA,Bypass-OP,ICD10,I20.8,Other forms of angina pectoris,NA,NA,NA,NA,NA,NA
DRKS00003577,ICD10,H53.4,Visual field defects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003616,Free text,NA,Actinic Keratoses,ICD10,L57.0,Actinic keratosis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003617,Free text,NA,Malignant Melanoma,ICD10,C43,Malignant melanoma of skin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003635,ICD10,D25.9,"Leiomyoma of uterus, unspecified",ICD10,N92.0,Excessive and frequent menstruation with regular cycle,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003725,Free text,NA,Neuroendocrine Tumors,ICD10,C74,Malignant neoplasm of adrenal gland,ICD10,C75,Malignant neoplasm of other endocrine glands and related structures,NA,NA,NA,NA,NA,NA
DRKS00003894,ICD10,C81,Hodgkin's disease,ICD10,C62,Malignant neoplasm of testis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003973,Free text,NA,ventilation during induction of anesthesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003995,Free text,NA,Refractory Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004049,Free text,NA,Testicular Cancer,Free text,NA,Germ Cell Cancer,ICD10,C62,Malignant neoplasm of testis,NA,NA,NA,NA,NA,NA
DRKS00004192,Free text,NA,peripheral arterial occlusive disease,ICD10,I73.9,"Peripheral vascular disease, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004223,ICD10,E66.00,[generalization E66.0: Obesity due to excess calories],ICD10,E66.20,[generalization E66.2: Extreme obesity with alveolar hypoventilation],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004313,ICD10,C92.4,Acute promyelocytic leukaemia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004442,Free text,NA,chronic diseases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004520,ICD10,G35,Multiple sclerosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004523,ICD10,T68,Hypothermia,ICD10,R68.0,"Hypothermia, not associated with low environmental temperature",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004524,Free text,NA,healthy volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004652,Free text,NA,livedoid vasculopathy,ICD10,L95.0,Livedoid vasculitis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004653,Free text,NA,Healthy subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004721,ICD10,R29.6,"Tendency to fall, not elsewhere classified",ICD10,U50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004791,Free text,NA,installation of central venous lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004807,ICD10,J44.9,"Chronic obstructive pulmonary disease, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004826,ICD10,C50,Malignant neoplasm of breast,Free text,NA,breast cancer,Free text,NA,Compliance,NA,NA,NA,NA,NA,NA
DRKS00004835,ICD10,M51,Other intervertebral disc disorders,ICD10,M53,"Other dorsopathies, not elsewhere classified",ICD10,M54,Dorsalgia,NA,NA,NA,NA,NA,NA
DRKS00004846,ICD10,S02.4,Fracture of malar and maxillary bones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004878,ICD10,M54,Dorsalgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004885,ICD10,R10.4,Other and unspecified abdominal pain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004911,ICD10,I10,Essential (primary) hypertension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004928,ICD10,G25.0,Essential tremor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004966,ICD10,C71.9,"Malignant neoplasm: Brain, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005039,ICD10,H81.2,Vestibular neuronitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005054,Free text,NA,Demineralization of teeth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005145,ICD10,I64,"Stroke, not specified as haemorrhage or infarction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005241,Free text,NA,Cardipulmonal Rehabilitation with geriatric patients. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005267,Free text,NA,healthy Volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005596,ICD10,K05.1,Chronic gingivitis,ICD10,L20,Atopic dermatitis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005602,ICD10,I20,Angina pectoris,ICD10,I21,Acute myocardial infarction,ICD10,I22,Subsequent myocardial infarction,ICD10,I23,Certain current complications following acute myocardial infarction,ICD10,I24,Other acute ischaemic heart diseases
DRKS00004217,ICD10,F20-F29,"Schizophrenia, schizotypal and delusional disorders",ICD10,F31.3,"Bipolar affective disorder, current episode mild or moderate depression",ICD10,F31.4,"Bipolar affective disorder, current episode severe depression without psychotic symptoms",ICD10,F31.5,"Bipolar affective disorder, current episode severe depression with psychotic symptoms",ICD10,F32,Depressive episode
DRKS00000566,ICD10,L10.0,Pemphigus vulgaris,ICD10,L10.2,Pemphigus foliaceus,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003633,ICD10,H25,Senile cataract,ICD10,H26,Other cataract,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003739,Free text,NA,Lymphoma,ICD10,C85.1,"B-cell lymphoma, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004067,Free text,NA,Prostate Cancer,Free text,NA,Bone Metastases,ICD10,C61,Malignant neoplasm of prostate,ICD10,C79.5,Secondary malignant neoplasm of bone and bone marrow,NA,NA,NA
DRKS00003132,ICD10,I67.1,"Cerebral aneurysm, nonruptured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004065,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004740,ICD10,H25,Senile cataract,ICD10,H26,Other cataract,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005311,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000003,ICD10,Z94.0,Kidney transplant status,Free text,NA,Kidney transplant,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000005,ICD10,C25,Malignant neoplasm of pancreas,ICD10,K86.3,Pseudocyst of pancreas,ICD10,K86.1,Other chronic pancreatitis,Other,NA,5-524: null,NA,NA,NA
DRKS00000002,ICD10,C95,Leukaemia of unspecified cell type,Free text,NA,GvHD prophylaxis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003983,Free text,NA,Prostatic Hyperplasia,ICD10,N40,Hyperplasia of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000756,ICD10,G20,Parkinson's disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004072,Free text,NA,"Carcinoma, Renal Cell",ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000145,Free text,NA,patient safety culture in general practice,Free text,NA,Methods for improvement of safety culture,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000224,ICD10,N17,Acute renal failure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000315,Free text,NA,healthy volunteers,ICD10,R52.0,Acute pain,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000345,ICD10,C25,Malignant neoplasm of pancreas,ICD10,R64,Cachexia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000419,ICD10,C25.0,Malignant neoplasm: Head of pancreas,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000423,Free text,NA,Healthy volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000539,ICD10,C50,Malignant neoplasm of breast,ICD10,C18,Malignant neoplasm of colon,ICD10,C19,Malignant neoplasm of rectosigmoid junction,ICD10,C20,Malignant neoplasm of rectum,NA,NA,NA
DRKS00000575,Free text,NA,Health problems at old age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000582,Free text,NA,primär cerebrales Lymphom,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000623,ICD10,I63,Cerebral infarction,ICD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000695,ICD10,E11,Non-insulin-dependent diabetes mellitus,ICD10,I10.00,[generalization I10: Essential (primary) hypertension],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000713,ICD10,J96.1,Chronic respiratory failure,ICD10,J44.80,[generalization J44.8: Other specified chronic obstructive pulmonary disease],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000714,ICD10,J96.1,Chronic respiratory failure,ICD10,J44.81,[generalization J44.8: Other specified chronic obstructive pulmonary disease],ICD10,J44.80,[generalization J44.8: Other specified chronic obstructive pulmonary disease],NA,NA,NA,NA,NA,NA
